Event,Obs,Q,Type,Loc/Freq,Particulars_a,begin_datetime,max_datetime,end_datetime
4540,LEA,3,FLA,S08W68,SF,2015-01-04 07:31:00,2015-01-04 07:32:00,2015-01-04 07:34:00
4530,SVI,3,FLA,S09W66,SF,2015-01-04 07:58:00,2015-01-04 07:59:00,2015-01-04 08:02:00
4550,SVI,C,RSP,117-172,III/1,2015-01-04 08:02:00,,2015-01-04 08:03:00
4560,LEA,3,FLA,S06E07,SF,2015-01-04 08:11:00,2015-01-04 08:13:00,2015-01-04 08:14:00
4570,LEA,3,FLA,S08W68,SF,2015-01-04 08:28:00,2015-01-04 08:40:00,2015-01-04 08:47:00
4570,SVI,C,RSP,117-174,III/1,2015-01-04 08:35:00,,2015-01-04 08:35:00
4580,SVI,G,RBR,245,190,2015-01-04 09:03:00,2015-01-04 09:07:00,2015-01-04 09:07:00
4450,SVI,G,RNS,245,200,2015-01-04 09:13:00,2015-01-04 09:27:00,2015-01-04 09:27:00
4610,SVI,3,FLA,S05E04,SF,2015-01-04 10:42:00,2015-01-04 10:43:00,2015-01-04 11:10:00
4620,SVI,C,RSP,027-075,III/1,2015-01-04 13:29:00,,2015-01-04 13:30:00
4630,SVI,C,RSP,052-171,CTM/1,2015-01-04 14:06:00,,2015-01-04 15:23:00
4640,HOL,4,FLA,S07E02,2N,2015-01-04 15:17:00,2015-01-04 15:31:00,2015-01-04 17:31:00
4640,G15,5,XRA,1-8A,M1.3,2015-01-04 15:18:00,2015-01-04 15:36:00,2015-01-04 15:53:00
4660,SAG,C,RSP,106-180,CTM/2,2015-01-04 17:28:00,,2015-01-04 19:32:00
4650,SAG,G,RBR,245,220,2015-01-04 18:20:00,2015-01-04 18:20:00,2015-01-04 18:20:00
4670,PAL,G,RBR,245,110,2015-01-04 20:36:00,2015-01-04 20:36:00,2015-01-04 20:36:00
4680,PAL,G,RBR,245,180,2015-01-04 20:38:00,2015-01-04 20:42:00,2015-01-04 20:42:00
4690,PAL,G,RBR,245,110,2015-01-04 20:48:00,2015-01-04 20:48:00,2015-01-04 20:48:00
4700,G15,5,XRA,1-8A,C1.1,2015-01-04 21:21:00,2015-01-04 21:26:00,2015-01-04 21:35:00
4700,HOL,3,FLA,S06W02,SF,2015-01-04 21:22:00,2015-01-04 21:24:00,2015-01-04 21:51:00
4710,HOL,3,FLA,S06W02,SF,2015-01-04 21:57:00,2015-01-04 21:57:00,2015-01-04 22:01:00
4740,LEA,C,RSP,087-180,CTM/1,2015-01-04 22:04:00,,2015-01-04 23:59:00
4720,LEA,C,RSP,032-115,III/1,2015-01-04 22:55:00,,2015-01-04 22:55:00
4730,LEA,C,RSP,025-084,VI/1,2015-01-04 23:28:00,,2015-01-04 23:45:00
4730,G15,5,XRA,1-8A,C1.9,2015-01-04 23:41:00,2015-01-04 23:45:00,2015-01-04 23:48:00
4750,PAL,C,RSP,100-180,CTM/1,2015-01-05 00:28:00,,2015-01-05 01:38:00
4750,LEA,3,FLA,S06W04,SF,2015-01-05 00:30:00,2015-01-05 00:38:00,2015-01-05 00:46:00
4750,LEA,U,RSP,026-090,III/1,2015-01-05 00:36:00,,2015-01-05 00:37:00
4760,LEA,C,RSP,028-082,VI/1,2015-01-05 01:09:00,,2015-01-05 01:42:00
